filename,match_start_time,cast_success_own,interrupt_success_own,times_interrupted,precog_gained_own,precog_gained_enemy,damage_done,healing_done,deaths_caused,times_died
2025-01-01_00-03-07_-_Iamlockedout_-_3v3_Empyrean_Domain_(Win).mp4,2025-01-01T00:07:49,0,0,0,0,0,0,0,0,0
2025-01-01_00-09-19_-_Iamlockedout_-_3v3_Tol'viron_(Loss).mp4,2025-01-01T00:11:49,0,0,0,0,0,0,0,0,0
2025-01-01_00-18-07_-_Iamlockedout_-_3v3_Nagrand_(Loss).mp4,2025-01-01T00:18:47,0,0,0,0,0,0,0,0,0
2025-01-01_00-23-07_-_Iamlockedout_-_3v3_Nagrand_(Win).mp4,2025-01-01T00:23:53,0,0,0,0,0,0,0,0,0
2025-01-01_00-25-42_-_Iamlockedout_-_3v3_Hook_Point_(Win).mp4,2025-01-01T00:28:04,0,0,0,0,0,0,0,0,0
2025-01-01_20-06-29_-_Phlurbotomy_-_3v3_Tol'viron_(Loss).mp4,2025-01-01T20:11:08,228,7,11,3,5,0,0,0,1
2025-01-01_20-16-29_-_Phlurbotomy_-_3v3_Hook_Point_(Loss).mp4,2025-01-01T20:19:12,115,3,3,2,1,0,0,0,0
2025-01-01_20-21-29_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Win).mp4,2025-01-01T20:22:03,126,2,1,3,2,0,0,0,0
2025-01-01_20-06-29_-_Phlurbotomy_-_3v3_Tol'viron_(Loss).mp4,2025-01-01T20:11:08,228,7,11,3,5,0,0,0,1
2025-01-01_20-16-29_-_Phlurbotomy_-_3v3_Hook_Point_(Loss).mp4,2025-01-01T20:19:12,115,3,3,2,1,0,0,0,0
2025-01-01_20-21-29_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Win).mp4,2025-01-01T20:22:03,126,2,1,3,2,0,0,0,0
2025-01-01_20-06-29_-_Phlurbotomy_-_3v3_Tol'viron_(Loss).mp4,2025-01-01T20:11:08,154,7,11,3,5,8,0,0,0,1
2025-01-01_20-16-29_-_Phlurbotomy_-_3v3_Hook_Point_(Loss).mp4,2025-01-01T20:19:12,52,3,2,1,0,1,0,0,0,0
2025-01-01_20-21-29_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Win).mp4,2025-01-01T20:22:03,88,2,1,3,2,2,0,0,0,0
2025-01-01_20-06-29_-_Phlurbotomy_-_3v3_Tol'viron_(Loss).mp4,2025-01-01T20:11:08,154,7,11,3,5,8,0,0,0,1
2025-01-01_20-16-29_-_Phlurbotomy_-_3v3_Hook_Point_(Loss).mp4,2025-01-01T20:19:12,52,3,2,1,0,1,0,0,0,0
2025-01-01_20-21-29_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Win).mp4,2025-01-01T20:22:03,88,2,1,3,2,2,0,0,0,0
2025-01-01_20-06-29_-_Phlurbotomy_-_3v3_Tol'viron_(Loss).mp4,2025-01-01T20:11:08,154,7,11,3,5,8,0,0,0,1,Soulburn; Demonic Gateway; Demonic Circle; Amplify Curse; Curse of Tongues; Dark Pact; Howl of Terror; Corruption; Corruption; Curse of Tongues; Healthstone; Nether Ward; Unstable Affliction; Shadow Bolt; Demonic Circle: Teleport; Bull Rush; Spell Lock; Haunt; Shadow Bolt; Gladiator's Medallion; Agony; Corruption; Malefic Rapture; Shadow Bolt; Unstable Affliction; Curse of Tongues; Phantom Singularity; Haunt; Shadow Bolt; Curse of Exhaustion; Shadow Bolt; Soul Rot; Malefic Rapture; Spell Lock; Malefic Rapture; Malefic Rapture; Unstable Affliction; Haunt; Curse of Tongues; Shadow Bolt; Dark Pact; Summon Darkglare; Malefic Rapture; Curse of Tongues; Curse of Exhaustion; Howl of Terror; Shadow Bolt; Curse of Weakness; Nether Ward; Corruption; Spell Lock; Shadow Bolt; Fear; Phantom Singularity; Haunt; Shadow Bolt; Curse of Tongues; Soulburn; Amplify Curse; Curse of Tongues; Shadow Bolt; Agony; Corruption; Unstable Affliction; Shadow Bolt; Agony; Dark Pact; Shadow Bolt; Fear; Spell Lock; Curse of Weakness; Soulburn; Demonic Circle: Teleport; Shadow Bolt; Haunt; Shadow Bolt; Howl of Terror; Curse of Tongues; Shadow Bolt; Agony; Corruption; Agony; Nether Ward; Curse of Weakness; Shadow Bolt; Curse of Weakness; Agony; Spell Lock; Curse of Weakness; Phantom Singularity; Unstable Affliction; Haunt; Soul Rot; Dark Pact; Shadow Bolt; Bull Rush; Shadow Bolt; Curse of Tongues; Agony; Curse of Exhaustion; Corruption; Malefic Rapture; Shadow Bolt; Corruption; Howl of Terror; Unstable Affliction; Gladiator's Medallion; Malefic Rapture; Malefic Rapture; Malefic Rapture; Curse of Tongues; Unending Resolve; Unstable Affliction; Haunt; Shadow Bolt; Curse of Tongues; Malefic Rapture; Spell Lock; Soulburn; Summon Darkglare; Phantom Singularity; Shadow Bolt; Curse of Exhaustion; Demonic Circle: Teleport; Malefic Rapture; Dark Pact; Corruption; Shadow Bolt; Nether Ward; Amplify Curse; Curse of Tongues; Fear; Curse of Tongues; Spell Lock; Shadow Bolt; Haunt; Shadow Bolt; Agony; Agony; Howl of Terror; Soulburn; Demonic Circle: Teleport; Agony; Shadow Bolt; Malefic Rapture; Spell Lock; Fear; Dark Pact; Curse of Weakness; Shadow Bolt; Nether Ward; Unstable Affliction; Curse of Tongues; Soul Rot,1126; 69369; 1459; 1459; 69369; 1459; 1044; 1459
2025-01-01_20-16-29_-_Phlurbotomy_-_3v3_Hook_Point_(Loss).mp4,2025-01-01T20:19:12,52,3,2,1,0,1,0,0,0,0,Demonic Circle; Soulburn; Demonic Gateway; Amplify Curse; Unstable Affliction; Curse of Weakness; Curse of Tongues; Curse of Tongues; Phantom Singularity; Dark Pact; Shadow Bolt; Spell Lock; Curse of Exhaustion; Demonic Circle: Teleport; Curse of Exhaustion; Soul Rot; Shadow Bolt; Malefic Rapture; Malefic Rapture; Malefic Rapture; Nether Ward; Curse of Exhaustion; Gladiator's Medallion; Unstable Affliction; Shadow Bolt; Curse of Exhaustion; Bull Rush; Howl of Terror; Spell Lock; Malefic Rapture; Haunt; Shadow Bolt; Shadow Bolt; Curse of Tongues; Curse of Tongues; Summon Darkglare; Dark Pact; Phantom Singularity; Shadow Bolt; Curse of Tongues; Shadow Bolt; Haunt; Shadow Bolt; Agony; Curse of Exhaustion; Shadow Bolt; Curse of Exhaustion; Spell Lock; Nether Ward; Curse of Tongues; Unending Resolve; Unstable Affliction,212295
2025-01-01_20-21-29_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Win).mp4,2025-01-01T20:22:03,88,2,1,3,2,2,0,0,0,0,Malefic Rapture; Haunt; Shadow Bolt; Shadow Bolt; Curse of Tongues; Curse of Tongues; Summon Darkglare; Dark Pact; Phantom Singularity; Shadow Bolt; Curse of Tongues; Shadow Bolt; Haunt; Shadow Bolt; Agony; Curse of Exhaustion; Shadow Bolt; Curse of Exhaustion; Spell Lock; Nether Ward; Curse of Tongues; Unending Resolve; Unstable Affliction; Create Soulwell; Summon Felhunter; Demonic Circle; Dark Pact; Demonic Circle; Unstable Affliction; Curse of the Satyr; Howl of Terror; Curse of the Satyr; Spell Lock; Curse of the Satyr; Shadow Bolt; Malefic Rapture; Haunt; Shadow Bolt; Curse of the Satyr; Summon Darkglare; Phantom Singularity; Malefic Rapture; Shadow Bolt; Gladiator's Medallion; Shadow Bolt; Malevolence; Agony; Nether Ward; Fear; Unstable Affliction; Haunt; Shadow Bolt; Oblivion; Spell Lock; Curse of the Satyr; Curse of the Satyr; Shadow Bolt; Malefic Rapture; Dark Pact; Shadow Bolt; Curse of the Satyr; Agony; Bull Rush; Howl of Terror; Shadow Bolt; Curse of the Satyr; Spell Lock; Haunt; Shadow Bolt; Curse of the Satyr; Agony; Unstable Affliction; Haunt; Curse of the Satyr; Create Soulwell; Demonic Circle; Summon Felhunter; Summon Felhunter; Soulburn; Demonic Gateway; Amplify Curse; Curse of Weakness; Curse of Tongues; Curse of Tongues; Phantom Singularity; Corruption; Drain Life; Shadow Bolt,135700; 69369
2025-01-01_20-06-29_-_Phlurbotomy_-_3v3_Tol'viron_(Loss).mp4,2025-01-01T20:11:08,159,7,11,3,5,8,0,0,0,1,Create Soulwell; Demonic Circle; Summon Felhunter; Demonic Circle; Summon Felhunter; Soulburn; Demonic Gateway; Demonic Circle; Amplify Curse; Curse of Tongues; Dark Pact; Howl of Terror; Corruption; Corruption; Curse of Tongues; Healthstone; Nether Ward; Unstable Affliction; Shadow Bolt; Demonic Circle: Teleport; Bull Rush; Spell Lock; Haunt; Shadow Bolt; Gladiator's Medallion; Agony; Corruption; Malefic Rapture; Shadow Bolt; Unstable Affliction; Curse of Tongues; Phantom Singularity; Haunt; Shadow Bolt; Curse of Exhaustion; Shadow Bolt; Soul Rot; Malefic Rapture; Spell Lock; Malefic Rapture; Malefic Rapture; Unstable Affliction; Haunt; Curse of Tongues; Shadow Bolt; Dark Pact; Summon Darkglare; Malefic Rapture; Curse of Tongues; Curse of Exhaustion; Howl of Terror; Shadow Bolt; Curse of Weakness; Nether Ward; Corruption; Spell Lock; Shadow Bolt; Fear; Phantom Singularity; Haunt; Shadow Bolt; Curse of Tongues; Soulburn; Amplify Curse; Curse of Tongues; Shadow Bolt; Agony; Corruption; Unstable Affliction; Shadow Bolt; Agony; Dark Pact; Shadow Bolt; Fear; Spell Lock; Curse of Weakness; Soulburn; Demonic Circle: Teleport; Shadow Bolt; Haunt; Shadow Bolt; Howl of Terror; Curse of Tongues; Shadow Bolt; Agony; Corruption; Agony; Nether Ward; Curse of Weakness; Shadow Bolt; Curse of Weakness; Agony; Spell Lock; Curse of Weakness; Phantom Singularity; Unstable Affliction; Haunt; Soul Rot; Dark Pact; Shadow Bolt; Bull Rush; Shadow Bolt; Curse of Tongues; Agony; Curse of Exhaustion; Corruption; Malefic Rapture; Shadow Bolt; Corruption; Howl of Terror; Unstable Affliction; Gladiator's Medallion; Malefic Rapture; Malefic Rapture; Malefic Rapture; Curse of Tongues; Unending Resolve; Unstable Affliction; Haunt; Shadow Bolt; Curse of Tongues; Malefic Rapture; Spell Lock; Soulburn; Summon Darkglare; Phantom Singularity; Shadow Bolt; Curse of Exhaustion; Demonic Circle: Teleport; Malefic Rapture; Dark Pact; Corruption; Shadow Bolt; Nether Ward; Amplify Curse; Curse of Tongues; Fear; Curse of Tongues; Spell Lock; Shadow Bolt; Haunt; Shadow Bolt; Agony; Agony; Howl of Terror; Soulburn; Demonic Circle: Teleport; Agony; Shadow Bolt; Malefic Rapture; Spell Lock; Fear; Dark Pact; Curse of Weakness; Shadow Bolt; Nether Ward; Unstable Affliction; Curse of Tongues; Soul Rot,1126; 69369; 1459; 1459; 69369; 1459; 1044; 1459
2025-01-01_20-16-29_-_Phlurbotomy_-_3v3_Hook_Point_(Loss).mp4,2025-01-01T20:19:12,52,3,2,1,0,1,0,0,0,0,Demonic Circle; Soulburn; Demonic Gateway; Amplify Curse; Unstable Affliction; Curse of Weakness; Curse of Tongues; Curse of Tongues; Phantom Singularity; Dark Pact; Shadow Bolt; Spell Lock; Curse of Exhaustion; Demonic Circle: Teleport; Curse of Exhaustion; Soul Rot; Shadow Bolt; Malefic Rapture; Malefic Rapture; Malefic Rapture; Nether Ward; Curse of Exhaustion; Gladiator's Medallion; Unstable Affliction; Shadow Bolt; Curse of Exhaustion; Bull Rush; Howl of Terror; Spell Lock; Malefic Rapture; Haunt; Shadow Bolt; Shadow Bolt; Curse of Tongues; Curse of Tongues; Summon Darkglare; Dark Pact; Phantom Singularity; Shadow Bolt; Curse of Tongues; Shadow Bolt; Haunt; Shadow Bolt; Agony; Curse of Exhaustion; Shadow Bolt; Curse of Exhaustion; Spell Lock; Nether Ward; Curse of Tongues; Unending Resolve; Unstable Affliction,212295
2025-01-01_20-21-29_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Win).mp4,2025-01-01T20:22:03,48,1,1,2,2,2,0,0,0,0,Dark Pact; Demonic Circle; Unstable Affliction; Curse of the Satyr; Howl of Terror; Curse of the Satyr; Spell Lock; Curse of the Satyr; Shadow Bolt; Malefic Rapture; Haunt; Shadow Bolt; Curse of the Satyr; Summon Darkglare; Phantom Singularity; Malefic Rapture; Shadow Bolt; Gladiator's Medallion; Shadow Bolt; Malevolence; Agony; Nether Ward; Fear; Unstable Affliction; Haunt; Shadow Bolt; Oblivion; Spell Lock; Curse of the Satyr; Curse of the Satyr; Shadow Bolt; Malefic Rapture; Dark Pact; Shadow Bolt; Curse of the Satyr; Agony; Bull Rush; Howl of Terror; Shadow Bolt; Curse of the Satyr; Spell Lock; Haunt; Shadow Bolt; Curse of the Satyr; Agony; Unstable Affliction; Haunt; Curse of the Satyr,135700; 69369
2025-01-01_20-06-29_-_Phlurbotomy_-_3v3_Tol'viron_(Loss).mp4,2025-01-01T20:11:08,154,7,11,3,5,8,0,0,0,1,Soulburn; Demonic Gateway; Demonic Circle; Amplify Curse; Curse of Tongues; Dark Pact; Howl of Terror; Corruption; Corruption; Curse of Tongues; Healthstone; Nether Ward; Unstable Affliction; Shadow Bolt; Demonic Circle: Teleport; Bull Rush; Spell Lock; Haunt; Shadow Bolt; Gladiator's Medallion; Agony; Corruption; Malefic Rapture; Shadow Bolt; Unstable Affliction; Curse of Tongues; Phantom Singularity; Haunt; Shadow Bolt; Curse of Exhaustion; Shadow Bolt; Soul Rot; Malefic Rapture; Spell Lock; Malefic Rapture; Malefic Rapture; Unstable Affliction; Haunt; Curse of Tongues; Shadow Bolt; Dark Pact; Summon Darkglare; Malefic Rapture; Curse of Tongues; Curse of Exhaustion; Howl of Terror; Shadow Bolt; Curse of Weakness; Nether Ward; Corruption; Spell Lock; Shadow Bolt; Fear; Phantom Singularity; Haunt; Shadow Bolt; Curse of Tongues; Soulburn; Amplify Curse; Curse of Tongues; Shadow Bolt; Agony; Corruption; Unstable Affliction; Shadow Bolt; Agony; Dark Pact; Shadow Bolt; Fear; Spell Lock; Curse of Weakness; Soulburn; Demonic Circle: Teleport; Shadow Bolt; Haunt; Shadow Bolt; Howl of Terror; Curse of Tongues; Shadow Bolt; Agony; Corruption; Agony; Nether Ward; Curse of Weakness; Shadow Bolt; Curse of Weakness; Agony; Spell Lock; Curse of Weakness; Phantom Singularity; Unstable Affliction; Haunt; Soul Rot; Dark Pact; Shadow Bolt; Bull Rush; Shadow Bolt; Curse of Tongues; Agony; Curse of Exhaustion; Corruption; Malefic Rapture; Shadow Bolt; Corruption; Howl of Terror; Unstable Affliction; Gladiator's Medallion; Malefic Rapture; Malefic Rapture; Malefic Rapture; Curse of Tongues; Unending Resolve; Unstable Affliction; Haunt; Shadow Bolt; Curse of Tongues; Malefic Rapture; Spell Lock; Soulburn; Summon Darkglare; Phantom Singularity; Shadow Bolt; Curse of Exhaustion; Demonic Circle: Teleport; Malefic Rapture; Dark Pact; Corruption; Shadow Bolt; Nether Ward; Amplify Curse; Curse of Tongues; Fear; Curse of Tongues; Spell Lock; Shadow Bolt; Haunt; Shadow Bolt; Agony; Agony; Howl of Terror; Soulburn; Demonic Circle: Teleport; Agony; Shadow Bolt; Malefic Rapture; Spell Lock; Fear; Dark Pact; Curse of Weakness; Shadow Bolt; Nether Ward; Unstable Affliction; Curse of Tongues; Soul Rot,1126; 69369; 1459; 1459; 69369; 1459; 1044; 1459
2025-01-01_20-16-29_-_Phlurbotomy_-_3v3_Hook_Point_(Loss).mp4,2025-01-01T20:19:12,52,3,2,1,0,1,0,0,0,0,Demonic Circle; Soulburn; Demonic Gateway; Amplify Curse; Unstable Affliction; Curse of Weakness; Curse of Tongues; Curse of Tongues; Phantom Singularity; Dark Pact; Shadow Bolt; Spell Lock; Curse of Exhaustion; Demonic Circle: Teleport; Curse of Exhaustion; Soul Rot; Shadow Bolt; Malefic Rapture; Malefic Rapture; Malefic Rapture; Nether Ward; Curse of Exhaustion; Gladiator's Medallion; Unstable Affliction; Shadow Bolt; Curse of Exhaustion; Bull Rush; Howl of Terror; Spell Lock; Malefic Rapture; Haunt; Shadow Bolt; Shadow Bolt; Curse of Tongues; Curse of Tongues; Summon Darkglare; Dark Pact; Phantom Singularity; Shadow Bolt; Curse of Tongues; Shadow Bolt; Haunt; Shadow Bolt; Agony; Curse of Exhaustion; Shadow Bolt; Curse of Exhaustion; Spell Lock; Nether Ward; Curse of Tongues; Unending Resolve; Unstable Affliction,212295
2025-01-01_20-21-29_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Win).mp4,2025-01-01T20:22:03,88,2,1,3,2,2,0,0,0,0,Malefic Rapture; Haunt; Shadow Bolt; Shadow Bolt; Curse of Tongues; Curse of Tongues; Summon Darkglare; Dark Pact; Phantom Singularity; Shadow Bolt; Curse of Tongues; Shadow Bolt; Haunt; Shadow Bolt; Agony; Curse of Exhaustion; Shadow Bolt; Curse of Exhaustion; Spell Lock; Nether Ward; Curse of Tongues; Unending Resolve; Unstable Affliction; Create Soulwell; Summon Felhunter; Demonic Circle; Dark Pact; Demonic Circle; Unstable Affliction; Curse of the Satyr; Howl of Terror; Curse of the Satyr; Spell Lock; Curse of the Satyr; Shadow Bolt; Malefic Rapture; Haunt; Shadow Bolt; Curse of the Satyr; Summon Darkglare; Phantom Singularity; Malefic Rapture; Shadow Bolt; Gladiator's Medallion; Shadow Bolt; Malevolence; Agony; Nether Ward; Fear; Unstable Affliction; Haunt; Shadow Bolt; Oblivion; Spell Lock; Curse of the Satyr; Curse of the Satyr; Shadow Bolt; Malefic Rapture; Dark Pact; Shadow Bolt; Curse of the Satyr; Agony; Bull Rush; Howl of Terror; Shadow Bolt; Curse of the Satyr; Spell Lock; Haunt; Shadow Bolt; Curse of the Satyr; Agony; Unstable Affliction; Haunt; Curse of the Satyr; Create Soulwell; Demonic Circle; Summon Felhunter; Summon Felhunter; Soulburn; Demonic Gateway; Amplify Curse; Curse of Weakness; Curse of Tongues; Curse of Tongues; Phantom Singularity; Corruption; Drain Life; Shadow Bolt,135700; 69369
2025-01-01_20-23-39_-_Phlurbotomy_-_3v3_Black_Rook_(Win).mp4,2025-01-01T20:25:18,84,3,1,3,0,1,0,0,0,0,Soulburn; Demonic Gateway; Amplify Curse; Curse of Weakness; Curse of Tongues; Curse of Tongues; Phantom Singularity; Corruption; Drain Life; Shadow Bolt; Unstable Affliction; Dark Pact; Curse of Tongues; Soul Rot; Curse of Tongues; Shadow Bolt; Spell Lock; Soulburn; Summon Darkglare; Agony; Nether Ward; Haunt; Shadow Bolt; Shadow Bolt; Curse of Exhaustion; Curse of Tongues; Curse of Tongues; Curse of Exhaustion; Demonic Circle: Teleport; Shadow Bolt; Agony; Malefic Rapture; Unstable Affliction; Haunt; Shadow Bolt; Malefic Rapture; Spell Lock; Bull Rush; Shadow Bolt; Phantom Singularity; Curse of Weakness; Howl of Terror; Malefic Rapture; Dark Pact; Soulburn; Healthstone; Shadow Bolt; Curse of Tongues; Haunt; Shadow Bolt; Fear; Unstable Affliction; Amplify Curse; Curse of Tongues; Curse of Exhaustion; Curse of Weakness; Corruption; Agony; Shadow Bolt; Nether Ward; Curse of Weakness; Soul Rot; Haunt; Shadow Bolt; Curse of Tongues; Shadow Bolt; Agony; Spell Lock; Corruption; Unending Resolve; Unstable Affliction; Shadow Bolt; Shadow Bolt; Malefic Rapture; Malefic Rapture; Fear; Curse of Exhaustion; Haunt; Shadow Bolt; Gladiator's Medallion; Shadow Bolt; Dark Pact; Phantom Singularity; Haunt,387804
