filename,match_start_time,cast_success_own,interrupt_success_own,times_interrupted,precog_gained_own,precog_gained_enemy,purges_own,damage_done,healing_done,deaths_caused,times_died,spells_cast,spells_purged
2025-01-01_20-06-29_-_Phlurbotomy_-_3v3_Tol'viron_(Loss).mp4,2025-01-01T20:11:08,154,7,11,3,5,8,0,0,0,1,Soulburn; Demonic Gateway; Demonic Circle; Amplify Curse; Curse of Tongues; Dark Pact; Howl of Terror; Corruption; Corruption; Curse of Tongues; Healthstone; Nether Ward; Unstable Affliction; Shadow Bolt; Demonic Circle: Teleport; Bull Rush; Spell Lock; Haunt; Shadow Bolt; Gladiator's Medallion; Agony; Corruption; Malefic Rapture; Shadow Bolt; Unstable Affliction; Curse of Tongues; Phantom Singularity; Haunt; Shadow Bolt; Curse of Exhaustion; Shadow Bolt; Soul Rot; Malefic Rapture; Spell Lock; Malefic Rapture; Malefic Rapture; Unstable Affliction; Haunt; Curse of Tongues; Shadow Bolt; Dark Pact; Summon Darkglare; Malefic Rapture; Curse of Tongues; Curse of Exhaustion; Howl of Terror; Shadow Bolt; Curse of Weakness; Nether Ward; Corruption; Spell Lock; Shadow Bolt; Fear; Phantom Singularity; Haunt; Shadow Bolt; Curse of Tongues; Soulburn; Amplify Curse; Curse of Tongues; Shadow Bolt; Agony; Corruption; Unstable Affliction; Shadow Bolt; Agony; Dark Pact; Shadow Bolt; Fear; Spell Lock; Curse of Weakness; Soulburn; Demonic Circle: Teleport; Shadow Bolt; Haunt; Shadow Bolt; Howl of Terror; Curse of Tongues; Shadow Bolt; Agony; Corruption; Agony; Nether Ward; Curse of Weakness; Shadow Bolt; Curse of Weakness; Agony; Spell Lock; Curse of Weakness; Phantom Singularity; Unstable Affliction; Haunt; Soul Rot; Dark Pact; Shadow Bolt; Bull Rush; Shadow Bolt; Curse of Tongues; Agony; Curse of Exhaustion; Corruption; Malefic Rapture; Shadow Bolt; Corruption; Howl of Terror; Unstable Affliction; Gladiator's Medallion; Malefic Rapture; Malefic Rapture; Malefic Rapture; Curse of Tongues; Unending Resolve; Unstable Affliction; Haunt; Shadow Bolt; Curse of Tongues; Malefic Rapture; Spell Lock; Soulburn; Summon Darkglare; Phantom Singularity; Shadow Bolt; Curse of Exhaustion; Demonic Circle: Teleport; Malefic Rapture; Dark Pact; Corruption; Shadow Bolt; Nether Ward; Amplify Curse; Curse of Tongues; Fear; Curse of Tongues; Spell Lock; Shadow Bolt; Haunt; Shadow Bolt; Agony; Agony; Howl of Terror; Soulburn; Demonic Circle: Teleport; Agony; Shadow Bolt; Malefic Rapture; Spell Lock; Fear; Dark Pact; Curse of Weakness; Shadow Bolt; Nether Ward; Unstable Affliction; Curse of Tongues; Soul Rot,1126; 69369; 1459; 1459; 69369; 1459; 1044; 1459
2025-01-01_20-16-29_-_Phlurbotomy_-_3v3_Hook_Point_(Loss).mp4,2025-01-01T20:19:12,52,3,2,1,0,1,0,0,0,0,Demonic Circle; Soulburn; Demonic Gateway; Amplify Curse; Unstable Affliction; Curse of Weakness; Curse of Tongues; Curse of Tongues; Phantom Singularity; Dark Pact; Shadow Bolt; Spell Lock; Curse of Exhaustion; Demonic Circle: Teleport; Curse of Exhaustion; Soul Rot; Shadow Bolt; Malefic Rapture; Malefic Rapture; Malefic Rapture; Nether Ward; Curse of Exhaustion; Gladiator's Medallion; Unstable Affliction; Shadow Bolt; Curse of Exhaustion; Bull Rush; Howl of Terror; Spell Lock; Malefic Rapture; Haunt; Shadow Bolt; Shadow Bolt; Curse of Tongues; Curse of Tongues; Summon Darkglare; Dark Pact; Phantom Singularity; Shadow Bolt; Curse of Tongues; Shadow Bolt; Haunt; Shadow Bolt; Agony; Curse of Exhaustion; Shadow Bolt; Curse of Exhaustion; Spell Lock; Nether Ward; Curse of Tongues; Unending Resolve; Unstable Affliction,212295
2025-01-01_20-21-29_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Win).mp4,2025-01-01T20:22:03,48,1,1,2,2,2,0,0,0,0,Dark Pact; Demonic Circle; Unstable Affliction; Curse of the Satyr; Howl of Terror; Curse of the Satyr; Spell Lock; Curse of the Satyr; Shadow Bolt; Malefic Rapture; Haunt; Shadow Bolt; Curse of the Satyr; Summon Darkglare; Phantom Singularity; Malefic Rapture; Shadow Bolt; Gladiator's Medallion; Shadow Bolt; Malevolence; Agony; Nether Ward; Fear; Unstable Affliction; Haunt; Shadow Bolt; Oblivion; Spell Lock; Curse of the Satyr; Curse of the Satyr; Shadow Bolt; Malefic Rapture; Dark Pact; Shadow Bolt; Curse of the Satyr; Agony; Bull Rush; Howl of Terror; Shadow Bolt; Curse of the Satyr; Spell Lock; Haunt; Shadow Bolt; Curse of the Satyr; Agony; Unstable Affliction; Haunt; Curse of the Satyr,135700; 69369
2025-01-01_20-23-39_-_Phlurbotomy_-_3v3_Black_Rook_(Win).mp4,2025-01-01T20:25:18,84,3,1,3,0,1,0,0,0,0,Soulburn; Demonic Gateway; Amplify Curse; Curse of Weakness; Curse of Tongues; Curse of Tongues; Phantom Singularity; Corruption; Drain Life; Shadow Bolt; Unstable Affliction; Dark Pact; Curse of Tongues; Soul Rot; Curse of Tongues; Shadow Bolt; Spell Lock; Soulburn; Summon Darkglare; Agony; Nether Ward; Haunt; Shadow Bolt; Shadow Bolt; Curse of Exhaustion; Curse of Tongues; Curse of Tongues; Curse of Exhaustion; Demonic Circle: Teleport; Shadow Bolt; Agony; Malefic Rapture; Unstable Affliction; Haunt; Shadow Bolt; Malefic Rapture; Spell Lock; Bull Rush; Shadow Bolt; Phantom Singularity; Curse of Weakness; Howl of Terror; Malefic Rapture; Dark Pact; Soulburn; Healthstone; Shadow Bolt; Curse of Tongues; Haunt; Shadow Bolt; Fear; Unstable Affliction; Amplify Curse; Curse of Tongues; Curse of Exhaustion; Curse of Weakness; Corruption; Agony; Shadow Bolt; Nether Ward; Curse of Weakness; Soul Rot; Haunt; Shadow Bolt; Curse of Tongues; Shadow Bolt; Agony; Spell Lock; Corruption; Unending Resolve; Unstable Affliction; Shadow Bolt; Shadow Bolt; Malefic Rapture; Malefic Rapture; Fear; Curse of Exhaustion; Haunt; Shadow Bolt; Gladiator's Medallion; Shadow Bolt; Dark Pact; Phantom Singularity; Haunt,387804
2025-01-01_20-27-18_-_Phlurbotomy_-_3v3_Hook_Point_(Win).mp4,2025-01-01T20:28:58,52,3,2,1,0,1,0,0,0,0,Demonic Circle; Soulburn; Demonic Gateway; Amplify Curse; Unstable Affliction; Curse of Weakness; Curse of Tongues; Curse of Tongues; Phantom Singularity; Dark Pact; Shadow Bolt; Spell Lock; Curse of Exhaustion; Demonic Circle: Teleport; Curse of Exhaustion; Soul Rot; Shadow Bolt; Malefic Rapture; Malefic Rapture; Malefic Rapture; Nether Ward; Curse of Exhaustion; Gladiator's Medallion; Unstable Affliction; Shadow Bolt; Curse of Exhaustion; Bull Rush; Howl of Terror; Spell Lock; Malefic Rapture; Haunt; Shadow Bolt; Shadow Bolt; Curse of Tongues; Curse of Tongues; Summon Darkglare; Dark Pact; Phantom Singularity; Shadow Bolt; Curse of Tongues; Shadow Bolt; Haunt; Shadow Bolt; Agony; Curse of Exhaustion; Shadow Bolt; Curse of Exhaustion; Spell Lock; Nether Ward; Curse of Tongues; Unending Resolve; Unstable Affliction,212295
2025-01-01_20-31-43_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Win).mp4,2025-01-01T20:33:06,121,3,8,3,2,5,0,0,0,0,Demonic Circle; Howl of Terror; Unstable Affliction; Curse of Tongues; Phantom Singularity; Dark Pact; Shadow Bolt; Nether Ward; Haunt; Shadow Bolt; Curse of Tongues; Soulburn; Summon Darkglare; Malefic Rapture; Spell Lock; Soul Rot; Malefic Rapture; Curse of Exhaustion; Fear; Shadow Bolt; Malefic Rapture; Malefic Rapture; Malefic Rapture; Curse of Tongues; Corruption; Shadow Bolt; Unstable Affliction; Bull Rush; Howl of Terror; Curse of Tongues; Gladiator's Medallion; Shadow Bolt; Agony; Spell Lock; Malefic Rapture; Malefic Rapture; Dark Pact; Unstable Affliction; Phantom Singularity; Curse of Tongues; Nether Ward; Shadow Bolt; Soulburn; Demonic Circle: Teleport; Haunt; Shadow Bolt; Curse of Exhaustion; Shadow Bolt; Unstable Affliction; Agony; Curse of Tongues; Shadow Bolt; Spell Lock; Malefic Rapture; Curse of Exhaustion; Unstable Affliction; Howl of Terror; Haunt; Shadow Bolt; Shadow Bolt; Curse of Tongues; Dark Pact; Unstable Affliction; Phantom Singularity; Curse of Tongues; Agony; Soul Rot; Fear; Nether Ward; Fear; Haunt; Shadow Bolt; Curse of Tongues; Spell Lock; Malefic Rapture; Malefic Rapture; Malefic Rapture; Shadow Bolt; Shadow Bolt; Corruption; Curse of Tongues; Shadow Bolt; Soulburn; Summon Darkglare; Malefic Rapture; Healthstone; Howl of Terror; Dark Pact; Haunt; Unstable Affliction; Curse of Tongues; Shadow Bolt; Shadow Bolt; Unending Resolve; Phantom Singularity; Malefic Rapture; Curse of Weakness; Curse of Tongues; Shadow Bolt; Malefic Rapture; Bull Rush; Gladiator's Medallion; Nether Ward; Curse of Tongues; Unstable Affliction; Spell Lock; Fear; Shadow Bolt; Soul Rot; Haunt; Malefic Rapture; Malefic Rapture; Shadow Bolt; Howl of Terror; Curse of Tongues; Agony; Unstable Affliction; Shadow Bolt; Haunt; Shadow Bolt; Agony,390614; 1126; 342246; 389714; 342246
2025-01-01_20-36-35_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Loss).mp4,2025-01-01T20:38:31,121,3,8,3,2,5,0,0,0,0,Demonic Circle; Howl of Terror; Unstable Affliction; Curse of Tongues; Phantom Singularity; Dark Pact; Shadow Bolt; Nether Ward; Haunt; Shadow Bolt; Curse of Tongues; Soulburn; Summon Darkglare; Malefic Rapture; Spell Lock; Soul Rot; Malefic Rapture; Curse of Exhaustion; Fear; Shadow Bolt; Malefic Rapture; Malefic Rapture; Malefic Rapture; Curse of Tongues; Corruption; Shadow Bolt; Unstable Affliction; Bull Rush; Howl of Terror; Curse of Tongues; Gladiator's Medallion; Shadow Bolt; Agony; Spell Lock; Malefic Rapture; Malefic Rapture; Dark Pact; Unstable Affliction; Phantom Singularity; Curse of Tongues; Nether Ward; Shadow Bolt; Soulburn; Demonic Circle: Teleport; Haunt; Shadow Bolt; Curse of Exhaustion; Shadow Bolt; Unstable Affliction; Agony; Curse of Tongues; Shadow Bolt; Spell Lock; Malefic Rapture; Curse of Exhaustion; Unstable Affliction; Howl of Terror; Haunt; Shadow Bolt; Shadow Bolt; Curse of Tongues; Dark Pact; Unstable Affliction; Phantom Singularity; Curse of Tongues; Agony; Soul Rot; Fear; Nether Ward; Fear; Haunt; Shadow Bolt; Curse of Tongues; Spell Lock; Malefic Rapture; Malefic Rapture; Malefic Rapture; Shadow Bolt; Shadow Bolt; Corruption; Curse of Tongues; Shadow Bolt; Soulburn; Summon Darkglare; Malefic Rapture; Healthstone; Howl of Terror; Dark Pact; Haunt; Unstable Affliction; Curse of Tongues; Shadow Bolt; Shadow Bolt; Unending Resolve; Phantom Singularity; Malefic Rapture; Curse of Weakness; Curse of Tongues; Shadow Bolt; Malefic Rapture; Bull Rush; Gladiator's Medallion; Nether Ward; Curse of Tongues; Unstable Affliction; Spell Lock; Fear; Shadow Bolt; Soul Rot; Haunt; Malefic Rapture; Malefic Rapture; Shadow Bolt; Howl of Terror; Curse of Tongues; Agony; Unstable Affliction; Shadow Bolt; Haunt; Shadow Bolt; Agony,390614; 1126; 342246; 389714; 342246
2025-01-01_20-41-29_-_Phlurbotomy_-_3v3_Maldraxxus_(Win).mp4,2025-01-01T20:43:44,107,1,4,4,2,4,0,0,0,0,Soulburn; Demonic Gateway; Demonic Circle; Unstable Affliction; Curse of the Satyr; Curse of the Satyr; Dark Pact; Phantom Singularity; Summon Darkglare; Curse of the Satyr; Malevolence; Malefic Rapture; Wither; Howl of Terror; Wither; Shadow Bolt; Nether Ward; Wither; Bull Rush; Shadow Bolt; Unstable Affliction; Drain Life; Unstable Affliction; Haunt; Spell Lock; Curse of the Satyr; Curse of the Satyr; Agony; Soulburn; Demonic Circle: Teleport; Oblivion; Agony; Amplify Curse; Curse of Exhaustion; Shadow Bolt; Malefic Rapture; Agony; Dark Pact; Gladiator's Medallion; Phantom Singularity; Drain Life; Shadow Bolt; Curse of the Satyr; Curse of the Satyr; Wither; Curse of the Satyr; Spell Lock; Curse of the Satyr; Nether Ward; Malefic Rapture; Shadow Bolt; Haunt; Curse of the Satyr; Malevolence; Agony; Wither; Curse of the Satyr; Howl of Terror; Demonic Circle: Teleport; Curse of the Satyr; Curse of Exhaustion; Shadow Bolt; Dark Pact; Haunt; Curse of the Satyr; Wither; Curse of the Satyr; Phantom Singularity; Amplify Curse; Agony; Unending Resolve; Spell Lock; Shadow Bolt; Shadow Bolt; Shadow Bolt; Haunt; Curse of the Satyr; Nether Ward; Curse of the Satyr; Agony; Malefic Rapture; Curse of the Satyr; Unstable Affliction; Demonic Circle: Teleport; Curse of the Satyr; Summon Darkglare; Curse of the Satyr; Agony; Wither; Dark Pact; Howl of Terror; Curse of the Satyr; Bull Rush; Wither; Phantom Singularity; Malevolence; Haunt; Wither; Curse of the Satyr; Curse of the Satyr; Wither; Shadow Bolt; Soulburn; Demonic Circle: Teleport; Fear; Curse of the Satyr; Nether Ward,173184; 462854; 1044; 156322
2025-01-01_20-46-45_-_Phlurbotomy_-_3v3_Dalaran_Sewers_(Loss).mp4,2025-01-01T20:50:59,84,2,4,1,2,3,0,0,0,1,Soulburn; Demonic Gateway; Demonic Circle; Curse of Tongues; Howl of Terror; Shadow Bolt; Dark Pact; Spell Lock; Unstable Affliction; Fear; Curse of Tongues; Shadow Bolt; Curse of Exhaustion; Phantom Singularity; Soulburn; Demonic Circle: Teleport; Nether Ward; Haunt; Shadow Bolt; Shadow Bolt; Curse of Exhaustion; Agony; Fear; Unstable Affliction; Bull Rush; Unstable Affliction; Spell Lock; Haunt; Shadow Bolt; Howl of Terror; Dark Pact; Gladiator's Medallion; Agony; Summon Darkglare; Curse of Tongues; Shadow Bolt; Demonic Circle: Teleport; Curse of Exhaustion; Shadow Bolt; Spell Lock; Nether Ward; Fear; Unstable Affliction; Shadow Bolt; Unending Resolve; Haunt; Shadow Bolt; Soul Rot; Curse of Tongues; Curse of Tongues; Phantom Singularity; Agony; Dark Pact; Corruption; Soulburn; Spell Lock; Howl of Terror; Shadow Bolt; Curse of Weakness; Curse of Exhaustion; Unstable Affliction; Shadow Bolt; Haunt; Curse of Tongues; Curse of Tongues; Shadow Bolt; Soulburn; Demonic Circle: Teleport; Curse of Exhaustion; Shadow Bolt; Unstable Affliction; Shadow Bolt; Grimoire of Sacrifice; Curse of Tongues; Dark Pact; Phantom Singularity; Agony; Curse of Tongues; Spell Lock; Corruption; Nether Ward; Agony; Corruption; Shadow Bolt,11426; 17; 69369
2025-01-01_20-54-08_-_Phlurbotomy_-_3v3_Ruins_of_Lordaeron_(Loss).mp4,2025-01-01T20:55:53,17,1,0,0,1,1,0,0,0,1,Curse of Exhaustion; Demonic Circle; Howl of Terror; Curse of Tongues; Dark Pact; Curse of Exhaustion; Shadow Bolt; Nether Ward; Fear; Spell Lock; Unstable Affliction; Haunt; Shadow Bolt; Phantom Singularity; Curse of Exhaustion; Bull Rush; Gladiator's Medallion,1459
